q	ID1	ID2	beta	LocalOverlap	RegionalOverlap	Homogeneity	TurnoverComp	Comparison	PlotCompare	Type
0	CAFBS.18.1	CAFRh.59.1	1.657399103	0.342600897	0.206709957	0.206709957	0.342600897	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.1	CAFRh.59.1	1.345722787	0.571618749	0.571618749	0.486190187	0.654277213	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.1	CAFRh.59.1	1.040091468	0.922907803	0.959908532	0.922907803	0.959908532	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.2	CAFRh.59.1	1.629962547	0.370037453	0.227022059	0.227022059	0.370037453	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.2	CAFRh.59.1	1.321787026	0.59751026	0.59751026	0.513103065	0.678212974	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.2	CAFRh.59.1	1.094245035	0.827744186	0.905754965	0.827744186	0.905754965	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.2	CAFRh.59.1	1.63546798	0.36453202	0.222891566	0.222891566	0.36453202	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.2	CAFRh.59.1	1.342346773	0.575242584	0.575242584	0.489927968	0.657653227	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.2	CAFRh.59.1	1.084268038	0.844562349	0.915731962	0.844562349	0.915731962	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.3	CAFRh.59.1	1.633760362	0.366239638	0.224169742	0.224169742	0.366239638	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.3	CAFRh.59.1	1.360928803	0.555408405	0.555408405	0.469584592	0.639071197	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.3	CAFRh.59.1	1.058008453	0.890344065	0.941991547	0.890344065	0.941991547	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.2	CAFRh.59.2	1.555903049	0.444096951	0.285427136	0.285427136	0.444096951	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.2	CAFRh.59.2	1.271437144	0.653539859	0.653539859	0.573023102	0.728562856	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.2	CAFRh.59.2	1.160280694	0.72372083	0.839719306	0.72372083	0.839719306	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.2	CAFRh.59.2	1.553113553	0.446886447	0.287735849	0.287735849	0.446886447	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.2	CAFRh.59.2	1.285896303	0.637225694	0.637225694	0.555335368	0.714103697	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.2	CAFRh.59.2	1.143236166	0.749419814	0.856763834	0.749419814	0.856763834	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.2	CAFRh.59.3	1.590277778	0.409722222	0.257641921	0.257641921	0.409722222	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.2	CAFRh.59.3	1.311731353	0.608527718	0.608527718	0.524702444	0.688268647	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.2	CAFRh.59.3	1.18121017	0.693178784	0.81878983	0.693178784	0.81878983	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.3	CAFRh.59.3	1.61023622	0.38976378	0.24205379	0.24205379	0.38976378	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.3	CAFRh.59.3	1.311640967	0.608627132	0.608627132	0.524807513	0.688359033	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.3	CAFRh.59.3	1.104387084	0.810959245	0.895612916	0.810959245	0.895612916	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.1	CAFRh.59.3	1.596934866	0.403065134	0.252399232	0.252399232	0.403065134	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.1	CAFRh.59.3	1.325668677	0.593279751	0.593279751	0.508672593	0.674331323	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.1	CAFRh.59.3	1.201705928	0.664300685	0.798294072	0.664300685	0.798294072	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.3	CAFRh.59.3	1.604895105	0.395104895	0.246187364	0.246187364	0.395104895	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.3	CAFRh.59.3	1.330223555	0.588331277	0.588331277	0.503506679	0.669776445	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.3	CAFRh.59.3	1.043222385	0.917136777	0.956777615	0.917136777	0.956777615	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.3	CAFRh.59.3	1.594911937	0.405088063	0.25398773	0.25398773	0.405088063	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.3	CAFRh.59.3	1.304128771	0.61691367	0.61691367	0.533590888	0.695871229	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.3	CAFRh.59.3	1.174482933	0.702877022	0.825517067	0.702877022	0.825517067	CA_BSvsRh	18-59	Hetero
