Feature.ID	p.Value	rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	effect	overlap
1CMET2-PWY	0.0011606249983441368	3.3739621102529753	3.4779240574249406	3.2880758755824018	-0.19098690400392915	0.28145831121459874	-0.6370928965855233	0.2472000011320559
ANAGLYCOLYSIS-PWY	0.004189097503790942	3.6902121124452445	3.8051038691445034	3.6224303324115494	-0.17842672704297824	0.30081163518956267	-0.5494406661276681	0.27154569182388083
ARGSYN-PWY	0.005223551843494244	3.463767358938067	3.5743980775664594	3.38801869438531	-0.1792695885649649	0.2830247925270619	-0.595070028406244	0.25980000104088663
AST-PWY	6.423024064553468e-13	1.8556846575962949	2.08767738176786	0.938858142795512	-1.0111805063010175	0.9034440796667109	-1.0078027892760437	0.15736852844711027
BIOTIN-BIOSYNTHESIS-PWY	6.120320936930373e-8	3.104834331821979	3.224083700435044	2.887931712473927	-0.33596601952907923	0.3324191811044708	-0.9681208847213031	0.148800002310674
COBALSYN-PWY	3.4037071646880343e-9	2.631225584069324	2.8267744398279033	2.3213093254632984	-0.38192329741908804	0.41637497709547855	-0.9185278549101519	0.17136572878246925
DAPLYSINESYN-PWY	0.03046325229651351	3.4503072019315413	3.5463411332349515	3.3759450136728653	-0.1520559705600264	0.24184072770905862	-0.5811311213067627	0.2657468516299121
DENITRIFICATION-PWY	8.689336389384281e-11	1.7119070959865308	1.9198873744590035	0.7696789796470576	-0.8645779727575533	0.9419793422496276	-0.913449706607558	0.1864000017232088
DHGLUCONATE-PYR-CAT-PWY	1.8924286253971115e-10	1.736509245696043	1.9380171232200416	0.5634139134386533	-1.1308956196336917	1.0946088839587382	-0.94086751107137645	0.17296540882300568
FASYN-INITIAL-PWY	1.3206537362798904e-4	3.3322940676578177	3.4244303850356275	3.220500965697069	-0.2212529576594333	0.2551529732353899	-0.8222654666635747	0.1708000019370079
FOLSYN-PWY	1.2244300468143676e-4	3.3508610945947215	3.469649162123469	3.2596522895882267	-0.2098192532839378	0.2969724616752587	-0.6928436505188801	0.2294000012756282
GALLATE-DEGRADATION-II-PWY	0.04293260792346654	-2.033132736670032	-2.2283971768088424	-1.8963711087329012	0.33597443025683127	0.7877606854255159	0.3925805805528172	0.3290000006455006
GLUCONEO-PWY	0.0013926629954216147	3.4950129464429565	3.6105378870569877	3.402135809431975	-0.19296854714316414	0.2735358088520061	-0.6541788056025288	0.23935213076663994
GLUCOSE1PMETAB-PWY	3.4670243499549196e-11	2.4947915817489994	2.704337213325461	1.727308728106915	-0.7543331881383208	0.6702437062556692	-1.0387654384465277	0.1515696883197918
GLUTORN-PWY	0.027796338883549203	3.557042187803207	3.6711246539712947	3.4858884261434966	-0.16277343277134992	0.2798856862327934	-0.5258566900880356	0.27914417208004244
