SampleID	Practice	Soil	Practice.Location	Stage	Age	Plant	Plot	ExpUnit	q0	q1	q2	q3	q4
CAFBS.18.1	CA	BS	CA.BS	F	1	1	18	CA.BS.F	426	119.4995788	22.44747148	12.94365362	10.37518444
CAFBS.18.2	CA	BS	CA.BS	F	1	2	18	CA.BS.F	646	184.3258997	31.04596982	16.72817183	13.02518156
CAFBS.18.3	CA	BS	CA.BS	F	1	3	18	CA.BS.F	510	152.9986452	27.72798318	15.1384033	11.85039602
CAFBS.59.1	CA	BS	CA.BS	F	1	1	59	CA.BS.F	546	145.0953931	25.11216128	14.22282195	11.33960328
CAFBS.59.2	CA	BS	CA.BS	F	1	2	59	CA.BS.F	391	105.6836741	20.49211839	12.09938828	9.806468164
CAFBS.59.3	CA	BS	CA.BS	F	1	3	59	CA.BS.F	322	74.64237043	15.3736634	9.702698758	8.058614852
CAFRh.18.1	CA	Rh	CA.Rh	F	1	1	18	CA.Rh.F	549	244.732368	62.44451685	31.12596301	22.98961065
CAFRh.18.2	CA	Rh	CA.Rh	F	1	2	18	CA.Rh.F	457	194.4221691	47.03622169	23.97759241	17.99398284
CAFRh.18.3	CA	Rh	CA.Rh	F	1	3	18	CA.Rh.F	730	195.2726817	31.82830829	17.00300114	13.14075899
CAFRh.59.1	CA	Rh	CA.Rh	F	1	1	59	CA.Rh.F	689	296.102409	69.61394288	33.41195708	24.37286088
CAFRh.59.2	CA	Rh	CA.Rh	F	1	2	59	CA.Rh.F	633	291.5151345	77.01571266	37.010173	26.79665446
CAFRh.59.3	CA	Rh	CA.Rh	F	1	3	59	CA.Rh.F	506	223.4266038	61.75884742	31.16011197	22.95298748
CAGBS.18.1	CA	BS	CA.BS	G	2	1	18	CA.BS.G	799	243.7073188	35.57742331	17.94445252	13.70365879
CAGBS.18.2	CA	BS	CA.BS	G	2	2	18	CA.BS.G	732	240.818277	41.32910563	20.5760709	15.52056419
CAGBS.18.3	CA	BS	CA.BS	G	2	3	18	CA.BS.G	638	319.200239	85.66478393	39.78197427	28.47792393
CAGBS.59.1	CA	BS	CA.BS	G	2	1	59	CA.BS.G	585	314.7727621	106.1704917	51.85183726	37.23068844
CAGBS.59.2	CA	BS	CA.BS	G	2	2	59	CA.BS.G	704	303.2720835	76.05129795	37.76389179	27.99115535
CAGBS.59.3	CA	BS	CA.BS	G	2	3	59	CA.BS.G	628	300.8631254	82.32192882	40.58048469	30.07561457
CAGRh.18.1	CA	Rh	CA.Rh	G	2	1	18	CA.Rh.G	821	459.5694547	214.5536816	122.0122224	88.59428901
CAGRh.18.2	CA	Rh	CA.Rh	G	2	2	18	CA.Rh.G	629	383.2359955	189.9654803	104.5749599	73.36320955
CAGRh.18.3	CA	Rh	CA.Rh	G	2	3	18	CA.Rh.G	738	427.2570014	202.71662	110.1082495	77.19262934
CAGRh.59.1	CA	Rh	CA.Rh	G	2	1	59	CA.Rh.G	732	295.6169228	74.70674973	36.6145841	26.49275377
