"Q"	"FDis"	"D_q"	"MD_q"	"FD_q"
"CAFBS.18.1"	73.9174469422126	54.1694056342044	400.850438335428	29629.8410074217	11877134.755634
"CAFBS.18.2"	76.2467756994058	54.8109444811641	605.116771681301	46138.2027623327	27919000.3067201
"CAFBS.18.3"	76.4041499344018	55.1534746787677	482.432038205622	36859.8097802214	17782353.1601438
"CAFBS.59.1"	75.8541126666957	55.0923699072552	515.287181372225	39086.6519115128	20140850.6927607
"CAFBS.59.2"	76.5307680138755	56.0127486747545	372.16816525469	28482.3155172564	10600211.1082625
"CAFBS.59.3"	74.7256522463849	55.5554846722949	309.83136185165	23152.3506007503	7173324.31669732
"CAFRh.18.1"	81.2410210088023	56.8225562302477	527.598993242347	42862.6808942244	22614307.2874608
"CAFRh.18.2"	80.8457632745995	56.9923746313694	436.064791208957	35253.990882467	15373024.1734454
"CAFRh.18.3"	82.8048185761366	59.0691455164778	690.039510130998	57138.5964467635	39427889.1016974
"CAFRh.59.1"	86.7169228282578	60.3908629918407	633.348014743743	54921.9909179634	34784733.9136661
"CAFRh.59.2"	83.0963045711793	57.7161713888706	597.826731651971	49677.1921741448	29698353.4351159
"CAFRh.59.3"	87.5479964191187	60.9992824146407	473.30049060248	41436.5096564331	19611920.3492442
"CAGBS.18.1"	73.8689460367983	53.0559240914998	764.218599218515	56452.0224659901	43141685.5320111
"CAGBS.18.2"	73.4607370913405	52.5726369984112	696.037295042012	51131.412736849	35589370.2130331
"CAGBS.18.3"	73.8405202493364	51.6139775037619	607.306389577497	44843.8197571486	27233938.271578
"CAGBS.59.1"	75.5757279723854	52.4446242837408	563.748535973574	42605.7059995694	24018904.3813778
"CAGBS.59.2"	73.864708098786	51.6538352336947	686.962349560981	50742.2734251781	34858031.3742261
"CAGBS.59.3"	75.1010411588097	52.4217597225374	610.322491670761	45835.8545671131	27974652.9672591
"CAGRh.18.1"	77.2342275795957	52.8112430079807	778.897643884806	60157.5578890099	46856580.1016136
"CAGRh.18.2"	75.8415804760142	52.066675111456	605.6556454325	45933.8813738213	27820114.5706816
"CAGRh.18.3"	79.5750231700801	54.6283524412205	695.460975599855	55341.323247245	38487730.6565159
"CAGRh.59.1"	94.4986632297588	66.7202754909744	639.677690284995	60448.6866298317	38667676.2441322
