"Q"	"FDis"	"D_q"	"MD_q"	"FD_q"
"CAFBS.18.1"	146.35503048413	107.172626232986	121.400751500597	17767.6106866661	2157001.2897313
"CAFBS.18.2"	151.010459995047	108.143761573209	175.017310378264	26429.4445473175	4625610.29946298
"CAFBS.18.3"	151.883093862426	109.18474149324	152.662075756799	23186.7883814028	3539743.24443858
"CAFBS.59.1"	150.238516979212	108.932388209948	145.831377141141	21909.4898307213	3195091.07447391
"CAFBS.59.2"	152.296551423313	111.279414333417	114.0157969087	17364.2126769759	1979794.54605755
"CAFBS.59.3"	150.18344350503	111.388087014644	87.4290986429742	13130.4030967428	1147979.30756714
"CAFRh.18.1"	156.540355053299	108.837799932831	233.940052328949	36621.0588527611	8567132.42435646
"CAFRh.18.2"	159.580905827443	111.592609093036	189.290050207995	30207.0776763139	5717899.24998626
"CAFRh.18.3"	162.722375733814	115.588371426472	199.61608600707	32482.0037497558	6483930.45419322
"CAFRh.59.1"	171.625837030862	118.352297361321	271.900766598246	46665.196656757	12688302.7444301
"CAFRh.59.2"	164.852155827426	113.131520660127	264.677493090447	43632.6553349587	11548581.8309364
"CAFRh.59.3"	175.201067926939	120.728301144392	210.273569730461	36840.1539735863	7746510.68544581
"CAGBS.18.1"	142.110608666998	102.008869393665	236.673037755274	33633.7494504694	7960201.65354239
"CAGBS.18.2"	142.548000498841	101.588762496393	223.046690817391	31794.8597939023	7091738.26203281
"CAGBS.18.3"	141.457200522751	97.9065055006322	288.79082531492	40851.5416857034	11797550.4388012
"CAGBS.59.1"	142.13035724322	97.800945053575	293.192165585788	41671.5072356213	12217759.4496356
"CAGBS.59.2"	139.639975589069	96.9785854875196	284.328366128015	39703.6061053958	11288861.4533375
"CAGBS.59.3"	141.841947566305	98.1934879629894	282.618068756001	40087.0972897791	11329338.0180713
"CAGRh.18.1"	149.587133731129	100.747075634456	425.160400451886	63598.5256795765	27039574.6460783
"CAGRh.18.2"	141.741607244642	96.3122500232884	365.916008873123	51865.5232142211	18978425.2526641
"CAGRh.18.3"	153.015490687754	103.607704373344	387.6874185051	59322.1805760266	22998463.0476131
"CAGRh.59.1"	199.334721516912	141.445437450093	210.484791415178	41956.9272802898	8831295.08701359
"CAGRh.59.2"	147.564832785768	99.7469970290032	389.128915616529	57421.7433650601	22344460.7284564
"CAGRh.59.3"	151.303733311032	102.616933087359	393.899976957571	59598.5370648098	23475862.3765335
"CAVBS.18.1"	149.858972412868	108.514767595684	143.750618201009	21542.3199273177	3096721.80703584
"CAVBS.18.2"	149.440055710766	104.951222261494	237.524854990436	35495.7275624624	8431117.5420539
"CAVBS.18.3"	142.145265145624	104.356920197398	134.847310363977	19167.9066858618	2584740.66189615
"CAVBS.59.1"	145.348058167403	104.23821780627	178.368032777289	25925.4472033187	4624271.01652744
"CAVBS.59.2"	152.049923528335	109.321010968315	122.83836742411	18677.5643731814	2294321.51506031
"CAVBS.59.3"	151.443109248364	109.323905661174	146.855770041228	22240.2944261064	3266115.56388948
"CAVRh.18.1"	181.282591269318	129.882163770171	105.873466404699	19193.0163365089	2032031.1703082
"CAVRh.18.2"	180.306002751943	126.474484110294	171.475664297975	30918.091598802	5301700.29573021
"CAVRh.18.3"	259.88905404547	189.667175111882	90.7245555009343	23578.3189078335	2139132.50237247
"CAVRh.59.1"	166.366202417397	116.478306856476	197.053446193148	32783.033516415	6460009.73107505
"CAVRh.59.2"	245.215872428009	201.022637023347	44.3082657060493	10865.0900308809	481413.296008419
"CAVRh.59.3"	212.717773803488	147.45876233212	121.901674793843	25930.652885063	3160990.01518698
"CPFBS.29.1"	153.204782770304	111.610322338996	164.443946241882	25193.599061879	4142934.84977117
"CPFBS.29.2"	150.71484910686	110.665514714969	143.757304745726	21666.3604927609	3114697.58808859
"CPFBS.29.3"	150.61602062627	110.151107515369	128.213406093553	19310.9930167508	2475928.18972643
"CPFBS.51.1"	151.099098960191	112.830717750871	120.283645317236	18174.7504270816	2186125.23410037
"CPFBS.51.2"	154.539229907678	113.637864900572	112.09258968192	17322.7024878012	1941746.58214707
"CPFBS.51.3"	154.819715019015	113.062232675937	141.288716056209	21874.2787552248	3090588.75998132
"CPFRh.29.1"	161.654764059835	114.864793202151	217.585094180953	35173.6670627588	7653265.66053986
"CPFRh.29.2"	162.785131580231	115.491204461792	167.47933705248	27263.1459190577	4566013.6044888
"CPFRh.29.3"	167.498945812844	117.61837402389	200.711301379828	33618.9313938453	6747699.47105786
"CPFRh.51.1"	164.22540035879	117.275491853535	170.331754807647	27972.800627101	4764656.21769856
"CPFRh.51.2"	165.662612288078	117.588425179008	147.654905342351	24460.8973361628	3611771.48076009
"CPFRh.51.3"	163.11031484051	113.97295562914	198.361771619406	32354.8510211625	6417965.56903974
"CPGBS.29.1"	155.538596078121	111.752963787936	177.701356115567	27639.4194513934	4911562.31875959
"CPGBS.29.2"	160.0067946515	116.152892587009	134.305618530369	21489.8115247315	2886202.42893012
"CPGBS.29.3"	172.199525412898	122.549234753984	151.474660621308	26083.8646710691	3951044.54874233
"CPGBS.51.1"	152.76863639351	110.078421097632	161.72659490021	24706.7513714707	3995738.77035406
"CPGBS.51.2"	141.991352958477	102.643084664042	177.517986990927	25206.0191473071	4474521.77908472
"CPGBS.51.3"	150.531555834476	108.552645210186	154.057366226351	23190.4950258143	3572666.58516226
"CPGRh.29.1"	162.87641426245	110.370756638273	342.718243141891	55820.7185452776	19130778.5907555
"CPGRh.29.2"	168.156013137645	114.147293243331	339.872461577365	57151.5981141271	19424254.3341287
"CPGRh.29.3"	163.037998424466	111.161463551193	348.953478804137	56892.6767274808	19852897.4625336
"CPGRh.51.1"	147.394882505493	100.007612734315	357.65358137191	52716.3076039817	18854176.2112673
"CPGRh.51.2"	148.286938121992	100.818652958725	279.161468104222	41395.9993468153	11556167.9512984
"CPGRh.51.3"	149.504596657549	101.872139732456	312.92669672648	46783.9795774716	14639956.1888973
"CPVBS.29.1"	114.643744908602	87.7744498840139	21.2944772196696	2441.27861433383	51985.7518397982
"CPVBS.29.2"	115.264667386334	88.6460065136607	21.1876971841215	2442.19286861013	51744.4429653325
"CPVBS.29.3"	110.993064086177	85.3959539171423	20.4107297815079	2265.44943868455	46239.4763266592
"CPVBS.51.1"	137.780890701732	103.805425868314	28.9691830618735	3991.39984516646	115627.592787761
"CPVBS.51.2"	147.332250061408	110.090964685686	28.441993017044	4190.42282743194	119183.976796281
"CPVBS.51.3"	119.707283483628	91.8923652287371	21.0837853531994	2523.8826701834	53213.0004748067
"CPVRh.29.1"	142.67649168586	107.80680898463	52.2951089136688	7461.28267213223	390188.589974825
"CPVRh.29.2"	124.798740929072	94.6446444091916	31.9060883541324	3981.83965456745	127044.927830617
"CPVRh.29.3"	129.347097014034	99.0301058442397	49.2499254623384	6370.33488671106	313738.518340654
"CPVRh.51.1"	145.707847418135	109.249964164477	33.2564836446193	4845.73064455388	161151.961926837
"CPVRh.51.2"	145.611364099523	109.3362291198	48.2429535489574	7024.7222744536	338893.350380792
"CPVRh.51.3"	132.496519393135	101.221709686787	44.7131855557323	5924.34145711392	264896.178867452
