index,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,k__Archaea;p__[Parvarchaeota],k__Bacteria;__,k__Bacteria;p__AD3,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__BRC1,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chlorobi,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__FBP,k__Bacteria;p__Fibrobacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__GAL15,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Nitrospirae,k__Bacteria;p__OD1,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__TM6,k__Bacteria;p__TM7,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__WPS-2,k__Bacteria;p__WS2,k__Bacteria;p__WS3,k__Bacteria;p__[Thermi],Soil_sample,Treatment,Tillage,Maize_development_stage
CAVRh_59,0,0,0,813,0,16462,11890,98,51,7919,38,3,2333,59,0,0,0,4686,0,3746,866,19,5809,104993,0,469,9,6794,10,0,34,0,Rhizosphere,AC,NoTill,Vegetative
CAVBS_59,0,0,0,1107,26,28891,13196,118,33,6301,54,0,4518,11,0,8,0,2712,0,4289,2566,35,5583,79596,0,281,0,8029,54,0,226,0,bulksoil,AC,NoTill,Vegetative
CAVRh_18,0,0,0,961,0,18013,13177,173,0,8645,35,0,2777,83,0,39,16,4833,0,4037,696,100,6774,122874,12,1021,11,6384,27,5,11,0,Rhizosphere,AC,NoTill,Vegetative
CAVBS_18,14,0,0,1203,0,33790,13110,211,23,10211,0,15,3980,52,0,22,12,2753,0,5915,1590,105,7505,94142,0,587,0,8729,27,17,244,0,bulksoil,AC,NoTill,Vegetative
CPVRh_51,0,0,0,301,0,9012,3902,110,0,2202,0,0,758,80,0,0,0,2162,0,1500,439,13,1650,128605,0,121,0,1636,0,0,0,0,Rhizosphere,AT,Till,Vegetative
CPVBS_51,0,0,0,282,0,4229,2176,10,0,1249,15,0,340,60,0,0,0,2462,0,840,202,0,172,113634,0,42,0,588,0,0,11,0,bulksoil,AT,Till,Vegetative
CPVRh_29,0,0,0,313,0,9994,5670,114,25,2656,0,4,906,119,0,0,0,3978,0,1577,471,0,1820,183295,0,165,7,1930,0,6,32,0,Rhizosphere,AT,Till,Vegetative
CPVBS_29,0,0,0,338,0,2710,2377,0,0,1397,25,0,430,99,0,0,0,3619,0,417,245,0,68,183783,0,0,0,237,8,0,7,0,bulksoil,AT,Till,Vegetative
CAFRh_59,36,0,0,1541,0,21561,13455,192,52,9533,0,33,2845,109,0,61,0,2612,0,4750,750,65,8019,76334,42,575,0,8970,17,0,12,12,Rhizosphere,AC,NoTill,Flowering
CAFBS_59,380,15,0,1311,39,20402,10679,59,39,2513,86,4,3637,29,0,6,0,2534,4,3130,1991,10,4512,65990,0,71,0,4407,13,0,315,0,bulksoil,AC,NoTill,Flowering
